deployment,level,instrument,depth_m,time_start,time_end,n_segments,n_valid,size_MB
TOR23W,L3,MOP586_5m,5,14-Nov-2023 18:30:39,17-Jan-2024 19:55:56,5406,3852,1.1
TOR23W,L3,MOP586_7m,7,14-Nov-2023 19:21:57,24-Jan-2024 13:12:48,5970,5957,1.6
TOR24S,L2,MOP580_7m,7,28-Feb-2024 18:36:24,10-May-2024 05:14:16,6029,5798,381.3
TOR24S,L2,MOP586_10m,10,28-Feb-2024 20:41:51,06-May-2024 04:20:31,5681,5650,369.6
TOR24S,L2,MOP586_5m,5,28-Feb-2024 20:04:55,06-May-2024 10:33:11,5705,5133,340.7
TOR24S,L2,MOP586_7m,7,28-Feb-2024 18:09:12,07-May-2024 09:05:12,5791,5392,354.9
TOR24S,L3,MOP580_7m,7,28-Feb-2024 18:36:24,10-May-2024 05:14:16,6029,5798,1.5
TOR24S,L3,MOP586_10m,10,28-Feb-2024 20:41:51,06-May-2024 04:20:31,5681,5650,1.5
TOR24S,L3,MOP586_5m,5,28-Feb-2024 20:04:55,06-May-2024 10:33:11,5705,5133,1.4
TOR24S,L3,MOP586_7m,7,28-Feb-2024 18:09:12,07-May-2024 09:05:12,5791,5392,1.4
TOR24W,L2,MOP586_10m,10,25-Nov-2024 18:14:17,01-Feb-2025 01:52:57,5681,4880,319.9
TOR24W,L2,MOP586_15m,15,25-Nov-2024 17:39:58,30-Jan-2025 18:52:30,5574,5561,362
TOR24W,L2,MOP586_7m,7,25-Nov-2024 18:43:57,04-Feb-2025 12:51:57,5971,5649,371.3
TOR24W,L3,MOP586_10m,10,25-Nov-2024 18:14:17,01-Feb-2025 01:52:57,5681,4880,1.3
TOR24W,L3,MOP586_15m,15,25-Nov-2024 17:39:58,30-Jan-2025 18:52:30,5574,5561,1.4
TOR24W,L3,MOP586_7m,7,25-Nov-2024 18:43:57,04-Feb-2025 12:51:57,5971,5649,1.5
TOR25S,L2,MOP586_10m,10,05-Mar-2025 17:07:04,11-May-2025 23:54:32,5678,5540,362.6
TOR25S,L2,MOP586_15m,15,05-Mar-2025 16:46:00,11-May-2025 12:27:52,5639,5513,359
TOR25S,L3,MOP586_10m,10,05-Mar-2025 17:07:04,11-May-2025 23:54:32,5678,5540,1.5
TOR25S,L3,MOP586_15m,15,05-Mar-2025 16:46:00,11-May-2025 12:27:52,5639,5513,1.5
