blk,umean,urms,vmean,vrms,wmean,corr,fbad,p
76,-0.04281,0.22380,0.01065,0.06519,0.00011,95.7,0.0000,9.057
77,-0.03744,0.22189,0.03458,0.06606,-0.00349,96.4,0.0000,8.961
78,-0.03349,0.22613,0.05155,0.06942,-0.00034,96.1,0.0000,8.872
79,-0.01740,0.21717,0.05367,0.05907,0.00090,95.6,0.0000,8.787
80,-0.01245,0.22299,0.05957,0.05804,0.00099,96.0,0.0000,8.707
81,-0.00966,0.22531,0.05974,0.05854,-0.00023,96.8,0.0000,8.654
82,-0.00717,0.23196,0.06275,0.06189,-0.00004,96.8,0.0000,8.620
83,-0.00926,0.23947,0.06215,0.05626,0.00083,94.8,0.0017,8.600
84,-0.01679,0.26350,0.06605,0.06786,-0.00046,94.0,0.0017,8.580
85,-0.01884,0.23679,0.06115,0.06089,0.00095,93.5,0.0008,8.585
86,-0.00931,0.21173,0.06591,0.06035,-0.00046,93.6,0.0004,8.598
87,-0.00243,0.25624,0.06053,0.06345,-0.00053,96.0,0.0025,8.626
88,0.00741,0.23429,0.06502,0.06107,-0.00183,93.5,0.0004,8.671
89,0.00620,0.24639,0.07883,0.06953,-0.00128,94.5,0.0000,8.725
90,-0.00483,0.24352,0.08282,0.06669,-0.00078,95.4,0.0004,8.794
91,0.01227,0.20882,0.07143,0.05654,-0.00233,95.2,0.0000,8.877
92,0.00733,0.19714,0.08889,0.06261,-0.00273,93.6,0.0000,8.975
93,-0.01047,0.21236,0.10505,0.06484,-0.00168,93.9,0.0000,9.069
94,-0.00260,0.21983,0.08530,0.06206,-0.00258,95.5,0.0000,9.173
95,0.02558,0.22988,0.05751,0.07074,-0.00349,94.6,0.0000,9.271
96,0.03937,0.22511,0.06335,0.06487,-0.00404,95.9,0.0000,9.377
97,0.03612,0.22577,0.04395,0.06968,-0.00336,97.0,0.0000,9.471
98,0.02712,0.23240,0.03787,0.07230,-0.00077,96.0,0.0000,9.563
99,0.01965,0.23961,0.03028,0.06904,0.00023,94.2,0.0025,9.660
100,0.00717,0.20528,0.02399,0.06767,0.00155,94.3,0.0000,9.736
101,0.00080,0.22612,0.00305,0.07047,0.00141,96.6,0.0000,9.797
102,0.00590,0.22125,-0.00643,0.07339,-0.00093,95.5,0.0000,9.854
103,0.03141,0.23714,-0.02259,0.07640,-0.00086,94.8,0.0000,9.893
104,-0.00367,0.23012,-0.03474,0.07482,-0.00195,96.0,0.0000,9.926
105,-0.02565,0.22587,-0.05209,0.07625,-0.00403,95.8,0.0000,9.928
106,-0.01981,0.20960,-0.05963,0.07281,-0.00417,96.7,0.0000,9.930
107,-0.02679,0.23553,-0.06747,0.07870,-0.00641,95.7,0.0000,9.916
108,-0.03381,0.24170,-0.06456,0.07722,-0.00642,96.7,0.0000,9.896
109,-0.03977,0.24875,-0.06056,0.07889,-0.00600,96.8,0.0000,9.863
110,-0.03737,0.26049,-0.04876,0.08226,-0.00515,96.4,0.0000,9.810
111,-0.02881,0.24257,-0.04712,0.08230,-0.00301,96.1,0.0017,9.767
112,-0.03323,0.26936,-0.04695,0.08007,-0.00430,96.3,0.0000,9.713
113,-0.03360,0.21437,-0.03360,0.07722,-0.00201,96.4,0.0004,9.654
114,-0.00577,0.25144,-0.03112,0.07325,-0.00075,95.5,0.0000,9.599
115,-0.00307,0.26758,-0.04021,0.08011,-0.00333,95.2,0.0008,9.540
116,-0.01533,0.24115,-0.03746,0.07288,-0.00245,93.5,0.0017,9.478
117,-0.01736,0.27377,-0.03297,0.07818,-0.00119,92.6,0.0017,9.424
118,-0.00923,0.24179,-0.02582,0.06966,-0.00009,91.1,0.0037,9.373
119,-0.00182,0.27846,-0.03374,0.07775,-0.00179,90.4,0.0017,9.326
120,-0.00376,0.27026,-0.03189,0.07556,-0.00145,91.2,0.0025,9.301
121,-0.00341,0.22869,-0.02781,0.06826,0.00016,90.0,0.0029,9.285
