time,urms_h,umean,vmean,T,P,frac_ok
18-Dec-2023 00:00:00,0.202921227268526,0.0214440246803946,-0.0143487254718694,16.9545166666666,9.02326249999999,1
18-Dec-2023 00:20:00,0.191763289652055,0.0242758439065019,-0.0345464518618994,16.9558749999998,8.90715749999999,1
18-Dec-2023 00:40:00,0.220700774600437,0.0364148409343246,-0.0457715915849508,16.9668333333333,8.8056475,1
18-Dec-2023 01:00:00,0.22516569906033,0.0179780522909437,-0.0428900105940786,16.9878416666666,8.70393875,1
18-Dec-2023 01:20:00,0.27618221445428,-0.00732443299773355,-0.0505848691307998,17.0176514834938,8.61503092352696,0.997083333333333
18-Dec-2023 01:40:00,0.204695274890441,0.00159768872214982,-0.0607114307258641,17.0430679449771,8.54490912880366,0.999583333333333
18-Dec-2023 02:00:00,0.253296669124773,-0.0145613549240813,-0.0505127552901838,17.0475104253544,8.48503252710592,0.999166666666667
18-Dec-2023 02:20:00,0.248838486080557,-0.0221269515603168,-0.049507088130797,17.0654064193412,8.46240766986245,0.999583333333333
18-Dec-2023 02:40:00,0.224424378322363,0.00904469964897332,-0.0484043889712468,17.0649750000001,8.43913791666667,1
18-Dec-2023 03:00:00,0.245891176754352,0.028198825587811,-0.0367384679808714,17.0562109212172,8.43436807002917,0.999583333333333
18-Dec-2023 03:20:00,0.23387338098978,0.032683016431257,-0.0328940015697445,17.0512051709758,8.44101834862386,0.999166666666667
18-Dec-2023 03:40:00,0.24306540958784,0.0302647589473605,-0.0314550852842911,17.0391750000001,8.47467625,1
18-Dec-2023 04:00:00,0.26656086900949,0.0336343985480769,-0.0284474923553838,17.002776156732,8.51483618174239,0.999583333333333
18-Dec-2023 04:20:00,0.259868523032324,0.00706781754145911,-0.0180888702621566,16.9640916666665,8.57684416666666,1
18-Dec-2023 04:40:00,0.293967269422723,-0.0386428635567284,0.0115519903054029,16.8339999999999,8.63589875,1
18-Dec-2023 05:00:00,0.255027686738304,-0.0367758759776218,0.00346761157483473,16.7948416666667,8.72929875,1
18-Dec-2023 05:20:00,0.231181324717673,-0.0329364904737343,-0.0036282079765653,16.802875,8.82306125,1
18-Dec-2023 05:40:00,0.232788943282607,-0.0275985659728384,-0.014052265862934,16.8104333333334,8.92397416666666,1
18-Dec-2023 06:00:00,0.247559352554575,-0.0243224407385091,-0.0149003874254219,16.8195666666665,9.02924916666666,1
18-Dec-2023 06:20:00,0.233701983578683,-0.0223917174078396,-0.0120954788187803,16.832125,9.12912333333334,1
18-Dec-2023 06:40:00,0.218562561995763,-0.0194909297443356,-0.00147176105714026,16.8534250000002,9.22803958333334,1
18-Dec-2023 07:00:00,0.208640340456426,-0.00397970111862506,0.0176616167941582,16.86645,9.33667125,1
18-Dec-2023 07:20:00,0.210865124090478,0.0100657163184845,0.0283858896644903,16.8648,9.43120125,1
18-Dec-2023 07:40:00,0.214448910686189,0.0111664428659683,0.0494830088184656,16.868875,9.52050791666667,1
18-Dec-2023 08:00:00,0.210009161772357,0.0201465042584949,0.0562426751563316,16.8748166666668,9.60745416666667,1
18-Dec-2023 08:20:00,0.215455639241078,0.0163453777324565,0.0711558956383382,16.8768916666665,9.67823541666667,1
18-Dec-2023 08:40:00,0.224494456046485,0.0101272732155106,0.0709626613515313,16.869075,9.72552875,1
18-Dec-2023 09:00:00,0.226788194308957,0.00438542406034961,0.0854976055722261,16.8551916666667,9.76768791666667,1
